"hex_id","period_50yr","total_buildings","risk_buildings","risk_share","map_category"
22,"1925-1974",1,0,0,"0%"
22,"1975-2025",NA,NA,NA,"No building data"
23,"1925-1974",NA,NA,NA,"No building data"
23,"1975-2025",NA,NA,NA,"No building data"
25,"1925-1974",NA,NA,NA,"No building data"
25,"1975-2025",NA,NA,NA,"No building data"
26,"1925-1974",NA,NA,NA,"No building data"
26,"1975-2025",NA,NA,NA,"No building data"
41,"1925-1974",NA,NA,NA,"No building data"
41,"1975-2025",NA,NA,NA,"No building data"
42,"1925-1974",1,0,0,"0%"
42,"1975-2025",NA,NA,NA,"No building data"
43,"1925-1974",NA,NA,NA,"No building data"
43,"1975-2025",NA,NA,NA,"No building data"
44,"1925-1974",NA,NA,NA,"No building data"
44,"1975-2025",NA,NA,NA,"No building data"
45,"1925-1974",NA,NA,NA,"No building data"
45,"1975-2025",1,0,0,"0%"
46,"1925-1974",NA,NA,NA,"No building data"
46,"1975-2025",NA,NA,NA,"No building data"
62,"1925-1974",2,0,0,"0%"
62,"1975-2025",1,0,0,"0%"
63,"1925-1974",NA,NA,NA,"No building data"
63,"1975-2025",NA,NA,NA,"No building data"
64,"1925-1974",NA,NA,NA,"No building data"
64,"1975-2025",NA,NA,NA,"No building data"
65,"1925-1974",NA,NA,NA,"No building data"
65,"1975-2025",2,0,0,"0%"
66,"1925-1974",NA,NA,NA,"No building data"
66,"1975-2025",NA,NA,NA,"No building data"
81,"1925-1974",2,0,0,"0%"
81,"1975-2025",1,0,0,"0%"
82,"1925-1974",NA,NA,NA,"No building data"
82,"1975-2025",NA,NA,NA,"No building data"
83,"1925-1974",NA,NA,NA,"No building data"
83,"1975-2025",NA,NA,NA,"No building data"
84,"1925-1974",1,0,0,"0%"
84,"1975-2025",2,0,0,"0%"
85,"1925-1974",NA,NA,NA,"No building data"
85,"1975-2025",1,0,0,"0%"
86,"1925-1974",NA,NA,NA,"No building data"
86,"1975-2025",NA,NA,NA,"No building data"
